"","Growth_Rate","Density_1","Density_2"
"1",207.429966224912,25.5154272668751,25.8085642619898
"2",30.6971585839628,30.9242459232337,40.3315067786562
"3",93.0135124653291,37.9392266560441,27.1887647332875
"4",136.65706945295,24.3481216287686,36.3785775592546
"5",181.169380123139,29.5987412172451,24.7621368650251
"6",220.877786736006,30.6621014219055,20.1706087927634
"7",119.444355596122,33.5397736463587,28.3851445312001
"8",108.128350964664,28.8015098791408,34.6793126340432
"9",-24.3963657044067,39.9223696832646,35.6961490136704
"10",66.1897645083789,29.3060649394017,38.35809383663
"11",197.650071008644,32.0882537539628,21.0587889661757
"12",-16.6774525687176,34.9087638873183,40.1562125937762
"13",181.114386626742,28.0365232224809,26.4842783350306
"14",176.945960698526,24.8016551152554,30.7908238128006
"15",25.0229995757092,38.9111448015429,32.5311739874036
"16",260.371307698007,18.4446545769742,25.900024471919
"17",198.388793637056,34.3930229046063,20.0057650251794
"18",155.441996250285,30.1790335900761,27.6035370427418
"19",83.6010919604171,35.0641434606354,30.4208995216112
"20",155.055359600043,32.1613257726981,25.5225669466835
"21",97.243499904092,40.4540960262457,25.3936216724613
"22",175.783241211716,24.0003709017806,31.6522475173266
"23",73.259852821356,37.9481910014504,29.2916959553196
"24",18.8515821622111,39.7732582111163,32.1742388075135
"25",133.38223415502,30.0246888841407,29.7313868699141
"26",268.266010629324,17.7414680607694,25.4644481220326
"27",47.8370819674888,32.3861865130681,36.5175611621113
"28",130.501387104318,27.017209156843,33.8589488776993
"29",41.1514876997795,33.9610163514982,35.2626279765382
"30",182.605667372985,31.4481835508867,22.9498082966815
"31",51.6232178963064,33.6946930188106,34.9799229488888
"32",199.142808428492,31.5948020054882,21.5211754831049
"33",114.708578710839,35.38082176906,27.333139287264
"34",200.181831753893,28.5792113975588,23.1386527442846
"35",256.027866685754,26.1166236301012,18.9604011059768
"36",89.5317247907929,27.0216975065411,39.1106125937678
"37",233.564855894167,21.3701011042698,26.7330329459061
"38",186.185190762007,25.4870776011816,28.5765939032247
"39",178.246771566656,27.2046904254977,28.0652519817753
"40",124.980132618577,28.7674371633324,31.9334748732304
"41",82.7627595589101,28.0820688578428,38.0019542576976
"42",172.07141024567,20.2044841241644,38.4057747788341
"43",214.719307312032,25.791474699322,24.0819680588637
"44",127.752148991897,39.5177373367382,23.207713732184
"45",181.187447453323,33.1124696506037,22.436646026395
"46",116.975189460532,39.9546021779016,23.734475503154
"47",65.6434532019047,28.4725813757927,39.796785385728
"48",138.148234907933,29.5457788239962,30.0382293606638
"49",176.297145538948,29.0791927422437,25.7869240120518
"50",206.536591126454,24.0061611734629,26.9941994742383
